Stadtteil;Ortsteile;Bezirk;Fläche (km²);Einwohner;Bevölkerungs­dichte (Einwohner/km²);Koordinaten
Dulsberg;424–425;Hamburg-Nord;1,2;17229;14358;53.5666666666667, 10.05
Curslack;604;Bergedorf;10,6;4036;381;53.4586111111111, 10.2158333333333
Cranz;718;Harburg;1,3;804;618;53.5369444444444, 9.78055555555556
Bramfeld;515;Wandsbek;10,1;52748;5223;53.6086111111111, 10.0725
Borgfelde;119–120;Hamburg-Mitte;0,8;8343;10429;53.5547222222222, 10.0344444444444
Blankenese;223–224;Altona;7,7;13730;1783;53.5583333333333, 9.81111111111111
Billwerder;611;Bergedorf;9,5;3359;354;53.5027777777778, 10.1388888888889
Billstedt;130;Hamburg-Mitte;17,0;70409;4142;53.5405555555556, 10.1011111111111
Billbrook;131;Hamburg-Mitte;6,1;1740;285;53.5277777777778, 10.0861111111111
Bergstedt;524;Wandsbek;7,0;10736;1534;53.6711111111111, 10.1269444444444
Bergedorf;602–603;Bergedorf;10,3;35796;3475;53.4880555555556, 10.2125
Barmbek-Süd;418–423;Hamburg-Nord;3,1;35827;11557;53.58, 10.0405555555556
Barmbek-Nord;426–429;Hamburg-Nord;3,8;41875;11020;53.6052777777778, 10.04
Bahrenfeld;215–217;Altona;10,6;30203;2849;53.5738888888889, 9.8925
Altona-Nord;208–210;Altona;2,2;24536;11153;53.5630555555556, 9.94527777777778
Altona-Altstadt;201–206;Altona;2,8;29169;10418;53.5488888888889, 9.94777777777778
Altenwerder;713;Harburg;6,7;3;0;53.5069444444444, 9.91777777777778
Altengamme;605;Bergedorf;15,6;2296;147;53.4247222222222, 10.2625
Alsterdorf;407;Hamburg-Nord;3,2;15204;4751;53.6108333333333, 10.0130555555556
Allermöhe;610;Bergedorf;8,6;1377;160;53.4861111111111, 10.1541666666667
